ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,1,72,88.68,107.51,1
2026,1,42,88.59,95.51,2
2026,1,6,87.49,103.74,3
2026,1,73,85.75,106.93,4
2026,1,68,84.25,107.33,5
2026,1,60,82.79,102.18,6
2026,1,18,78.73,106.1,7
2026,1,26,78.08,106.51,8
2026,1,71,76.95,96.32,9
2026,1,23,76.94,100.49,10
2026,1,76,76.68,94.18,11
2026,1,21,76.08,103.83,12
2026,1,57,75.79,108.57,13
2026,1,53,75.19,101.5,14
2026,1,9,75.09,98.96,15
2026,1,66,74.89,109.77,16
2026,1,49,74.18,95.12,17
2026,1,62,73.35,98.28,18
2026,1,70,73.24,107.3,19
2026,1,5,72.69,103.9,20
2026,1,59,72.65,95.62,21
2026,1,47,71.95,98.42,22
2026,1,45,71.78,103.6,23
2026,1,28,71.48,108.28,24
2026,1,36,71.39,107.90,25
2026,1,3,70.88,106.76,26
2026,1,11,70.85,105.86,27
2026,1,54,70.79,95.94,28
2026,1,77,70.58,95.84,29
2026,1,27,70.09,102.99,30
2026,1,44,69.85,108.11,31
2026,1,46,69.58,97.99,32
2026,1,16,68.35,104.36,33
2026,1,32,68.19,108.30,34
2026,1,67,68.18,109.82,35
2026,1,80,68.15,94.69,36
2026,1,29,68.09,106.69,37
2026,1,74,68.04,105.25,38
2026,1,78,67.93,97.1,39
2026,1,13,67.79,96.33,40
2026,1,50,67.25,104.72,41
2026,1,34,66.85,109.78,42
2026,1,40,66.45,103.59,43
2026,1,58,66.25,94.26,44
2026,1,15,65.99,99.17,45
2026,1,43,65.68,95.69,46
2026,1,19,65.15,109.49,47
2026,1,14,64.75,108.74,48
2026,1,38,63.83,95.99,49
2026,1,12,63.79,101.71,50
2026,1,20,63.75,96.92,51
2026,1,69,63.65,94.50,52
2026,1,56,63.39,109.35,53
2026,1,41,63.14,110.95,54
2026,1,55,62.45,104.74,55
2026,1,35,62.33,106.21,56
2026,1,79,61.79,105.45,57
2026,1,2,61.45,98.78,58
2026,1,25,61.39,109.20,59
2026,1,48,61.35,110.85,60
2026,1,52,61.33,97.50,61
2026,1,30,61.03,103.41,62
2026,1,7,60.29,101.84,63
2026,1,64,59.93,105.49,64
2026,1,31,59.35,106.36,65
2026,1,39,59.18,104.35,66
2026,1,24,58.25,108.42,68
2026,1,33,57.89,98.99,69
2026,1,8,56.23,109.83,70
2026,1,10,55.99,96.90,71
2026,1,17,55.05,102.36,72
2026,1,4,54.25,99.40,73
2026,1,1,53.65,109.36,74
2026,1,61,53.65,103.66,75
2026,1,37,52.75,106.72,76
2026,1,75,52.14,107.65,77
2026,1,22,50.83,95.48,78
2026,1,63,49.19,94.85,79
2026,1,65,48.65,106.41,80
2026,1,51,45.33,99.40,81
