ano,rodada,time_id,pontos
2026,23,1,54.75
2026,23,2,55.82
2026,23,3,49.75
2026,23,4,66.42
2026,23,5,51.42
2026,23,6,38.72
2026,23,7,59.65
2026,23,8,67.63
2026,23,9,51.45
2026,23,10,57.33
2026,23,11,44.45
2026,23,12,46.12
2026,23,13,52.55
2026,23,14,52.75
2026,23,15,49.65
2026,23,16,45.23
2026,23,17,54.95
2026,23,18,43.53
2026,23,19,67.55
2026,23,20,57.44
2026,23,21,36.83
2026,23,22,31.45
2026,23,23,39.65
2026,23,24,63.63
2026,23,25,66.75
2026,23,26,58.82
2026,23,27,57.35
2026,23,28,43.75
2026,23,29,51.55
2026,23,30,41.64
2026,23,31,44.85
2026,23,32,58.55
2026,23,33,73.80
2026,23,34,72.55
2026,23,35,56.85
2026,23,36,56.85
2026,23,37,43.35
2026,23,38,60.03
2026,23,39,40.92
2026,23,40,71.75
2026,23,41,31.73
2026,23,42,31.46
2026,23,43,41.85
2026,23,44,61.95
2026,23,45,31.05
2026,23,46,54.73
2026,23,47,54.43
2026,23,48,42.55
2026,23,49,44.35
2026,23,50,65.55
2026,23,51,59.02
2026,23,52,58.45
2026,23,53,68.15
2026,23,54,66.50
2026,23,55,48.13
2026,23,56,32.53
2026,23,57,60.05
2026,23,58,55.75
2026,23,59,45.75
