ano,rodada,time_id,pontos
2026,22,1,113.68
2026,22,2,118.68
2026,22,3,110.98
2026,22,4,122.58
2026,22,5,96.08
2026,22,6,108.00
2026,22,7,79.57
2026,22,8,114.88
2026,22,9,121.08
2026,22,10,44.85
2026,22,11,106.18
2026,22,12,108.08
2026,22,13,123.98
2026,22,14,133.58
2026,22,15,106.78
2026,22,16,38.70
2026,22,17,107.38
2026,22,18,117.58
2026,22,19,105.28
2026,22,20,94.78
2026,22,21,127.18
2026,22,22,118.38
2026,22,23,99.78
2026,22,24,107.28
2026,22,25,80.20
2026,22,26,109.08
2026,22,27,116.48
2026,22,28,117.38
2026,22,29,102.47
2026,22,30,92.58
2026,22,31,109.98
2026,22,32,115.34
2026,22,33,73.80
2026,22,34,88.74
2026,22,35,111.28
2026,22,36,111.28
2026,22,37,89.78
2026,22,38,122.58
2026,22,39,109.08
2026,22,40,113.08
2026,22,41,92.48
2026,22,42,101.48
2026,22,43,130.68
2026,22,44,110.98
2026,22,45,106.24
2026,22,46,105.28
2026,22,47,105.28
2026,22,48,130.68
2026,22,49,124.08
2026,22,50,104.60
2026,22,51,119.08
2026,22,52,115.18
2026,22,53,88.60
2026,22,54,75.74
2026,22,55,110.08
2026,22,56,106.88
2026,22,57,96.38
2026,22,58,118.88
2026,22,59,109.38
