2026,11,54,107.36,147.08,1
2026,11,75,105.76,151.09,2
2026,11,38,98.96,149.21,3
2026,11,18,98.96,149.15,4
2026,11,1,98.76,138.60,5
2026,11,28,98.66,137.71,6
2026,11,17,98.56,153.89,7
2026,11,47,98.46,141.03,8
2026,11,72,96.86,146.21,9
2026,11,73,96.36,144.00,10
2026,11,50,95.46,148.01,11
2026,11,27,95.16,139.61,12
2026,11,40,95.16,143.25,13
2026,11,8,94.96,132.69,14
2026,11,5,94.76,155.90,15
2026,11,55,92.19,145.12,16
2026,11,34,91.86,159.04,17
2026,11,78,91.26,137.91,18
2026,11,24,90.66,136.66,19
2026,11,41,90.46,146.76,20
2026,11,48,89.28,137.11,21
2026,11,36,88.96,143.60,22
2026,11,77,88.71,139.29,23
2026,11,69,88.26,129.88,24
2026,11,14,88.06,130.00,25
2026,11,64,87.66,150.24,26
2026,11,68,87.46,141.28,27
2026,11,32,87.36,147.80,28
2026,11,33,87.06,139.58,29
2026,11,45,86.98,136.06,30
2026,11,63,86.86,148.41,31
2026,11,53,86.86,117.70,32
2026,11,57,86.66,145.64,33
2026,11,11,86.56,144.56,34
2026,11,79,86.56,142.65,35
2026,11,19,86.46,145.91,36
2026,11,7,86.16,143.47,37
2026,11,10,85.86,145.37,38
2026,11,16,85.66,135.19,39
2026,11,67,84.79,199.58,40
2026,11,37,84.76,154.93,41
2026,11,71,84.66,141.57,42
2026,11,80,84.05,133.31,43
2026,11,35,82.06,146.86,44
2026,11,51,81.86,150.44,45
2026,11,61,81.76,136.56,46
2026,11,20,81.66,148.53,47
2026,11,21,81.36,145.68,48
2026,11,26,80.86,142.16,49
2026,11,4,79.76,140.31,50
2026,11,81,79.76,124.97,51
2026,11,9,79.36,141.88,52
2026,11,66,78.79,155.21,53
2026,11,39,78.56,150.31,54
2026,11,30,78.38,139.30,55
2026,11,22,77.66,138.44,56
2026,11,70,77.16,135.81,57
2026,11,15,75.36,157.50,58
2026,11,65,75.16,140.63,59
2026,11,43,74.78,133.67,60
2026,11,49,74.16,154.62,61
2026,11,82,73.66,129.66,62
2026,11,6,72.28,148.17,63
2026,11,56,71.69,132.47,64
2026,11,31,71.39,122.25,65
2026,11,42,71.36,139.58,66
2026,11,3,70.46,141.40,67
2026,11,44,68.66,140.22,68
2026,11,46,66.76,114.30,69
2026,11,23,66.59,118.66,70
2026,11,2,64.08,143.09,71
2026,11,25,60.69,142.29,72
2026,11,74,59.06,125.67,73
2026,11,59,57.86,131.58,74
2026,11,13,55.90,134.30,75
2026,11,52,53.78,103.23,76
2026,11,83,53.69,101.27,77
2026,11,12,52.46,127.47,78
2026,11,60,42.28,123.90,79
2026,11,58,33.49,112.69,80
2026,11,62,32.58,128.01,81
2026,11,76,27.10,111.94,82
2026,11,29,12.70,92.24,83
