ano,rodada,time_id,pontos
2026,14,1,75.35
2026,14,2,50.18
2026,14,3,69.34
2026,14,4,48.88
2026,14,5,80.54
2026,14,6,58.75
2026,14,7,62.03
2026,14,8,60.58
2026,14,9,39.99
2026,14,10,54.44
2026,14,11,66.35
2026,14,12,80.75
2026,14,13,52.58
2026,14,14,58.05
2026,14,15,50.15
2026,14,16,29.96
2026,14,17,67.55
2026,14,18,67.35
2026,14,19,66.65
2026,14,20,67.25
2026,14,21,62.58
2026,14,22,53.03
2026,14,23,61.68
2026,14,24,57.25
2026,14,25,70.93
2026,14,26,46.68
2026,14,27,53.35
2026,14,28,57.85
2026,14,29,58.34
2026,14,30,52.66
2026,14,31,61.68
2026,14,32,49.35
2026,14,33,73.80
2026,14,34,74.78
2026,14,35,46.48
2026,14,36,46.48
2026,14,37,36.68
2026,14,38,55.98
2026,14,39,46.88
2026,14,40,50.55
2026,14,41,60.75
2026,14,42,44.58
2026,14,43,67.05
2026,14,44,64.75
2026,14,45,59.94
2026,14,46,49.75
2026,14,47,49.25
2026,14,48,67.75
2026,14,49,61.08
2026,14,50,57.28
2026,14,51,44.75
2026,14,52,49.14
2026,14,53,41.75
2026,14,54,52.26
2026,14,55,51.54
2026,14,56,54.75
2026,14,57,47.68
2026,14,58,51.93
2026,14,59,65.58
