ano,rodada,time_id,pontos
2026,9,1,61.18
2026,9,2,81.98
2026,9,3,93.64
2026,9,4,86.68
2026,9,5,79.04
2026,9,6,65.38
2026,9,7,81.34
2026,9,8,92.04
2026,9,9,58.98
2026,9,10,76.64
2026,9,11,74.14
2026,9,12,88.98
2026,9,13,83.76
2026,9,14,83.88
2026,9,15,62.71
2026,9,16,54.45
2026,9,17,77.88
2026,9,18,70.44
2026,9,19,72.06
2026,9,20,64.56
2026,9,21,88.76
2026,9,22,58.43
2026,9,23,65.68
2026,9,24,68.15
2026,9,25,51.78
2026,9,26,93.88
2026,9,27,63.68
2026,9,28,70.08
2026,9,29,99.28
2026,9,30,72.78
2026,9,31,68.58
2026,9,32,56.45
2026,9,33,73.80
2026,9,34,102.25
2026,9,35,75.78
2026,9,36,81.08
2026,9,37,60.86
2026,9,38,86.48
2026,9,39,92.98
2026,9,40,57.98
2026,9,41,83.64
2026,9,42,86.18
2026,9,43,86.96
2026,9,44,78.66
2026,9,45,62.93
2026,9,46,86.94
2026,9,47,76.65
2026,9,48,83.46
2026,9,49,66.48
2026,9,50,51.85
2026,9,51,91.38
2026,9,52,80.84
2026,9,53,42.83
2026,9,54,59.16
2026,9,55,75.58
2026,9,56,77.16
2026,9,57,88.18
2026,9,58,88.76
2026,9,59,89.55
